ID,Name,Bibtex,Pages,Type,Venue,Year,Description,Domain,# Documents,Avg # Pages,Min/Max Pages,Num Q/A,Modalities,Question Types,Answer Types,Multi/S Hop,Metrics,
11,PaperTab,hui2024uda,MP,BM,NeurIPS,2024,"Table-centric academic-paper QA sub-task of the UDA benchmark, derived from QASPER; 393 questions over 307 NLP research papers focused on extracting and reasoning over tabular content embedded in long scientific documents.",Academic Paper (NLP),307,~11,Variable (academic-paper length),393,"Text, Tables","Extractive, Reasoning over tables","Extractive, Short-form",M+S,"F1 (span-level bag-of-words)",
12,FetaTab,hui2024uda,MP,BM,NeurIPS,2024,"Wikipedia-table free-form QA sub-task of the UDA benchmark, derived from FeTaQA; 1,016 questions over 871 Wikipedia pages requiring free-form generative answers grounded in highlighted table cells with surrounding context.",Wikipedia Articles,871,~11,Variable (Wikipedia article length),"1,016","Text, Tables","Free-form, Generative","Free-form, Abstractive",S,"F1 (span-level bag-of-words)",
13,PaperText,hui2024uda,MP,BM,NeurIPS,2024,"Text-centric academic-paper QA sub-task of the UDA benchmark, derived from QASPER; 2,804 information-seeking questions over 1,087 NLP research papers answered from the textual body, evidence types include extractive, abstractive, yes/no, and unanswerable.",Academic Paper (NLP),1087,~11,Variable (academic-paper length),"2,804","Text, Tables","Extractive, Abstractive, Yes/No, Unanswerable","Extractive, Abstractive, Yes/No",M+S,"F1 (span-level bag-of-words)",
14,DuReaderVis,qi2022dureadervis,MP,PT+BM,ACL,2022,"First Chinese open-domain DocVQA dataset with real user queries from Baidu Search and document images from web pages, featuring long answers and multi-span extraction.",Cross-domain (Open-domain web pages from Baidu Search),158000,N/A (web page screenshots; avg. 1968 OCR tokens per image),N/A (full web page screenshots),"15,000","Text, Layout, Tables, Lists, Visual features (images, colors)","Factual, Non-factual, Open-domain","Extractive (Text, List, Table; single-span and multi-span; avg. 180.54 tokens)",S,"Rouge-L, F1 (concatenated spans); Recall@K, Recall@5, Recall@10, MRR (retrieval)",
15,InstructDoc,tanaka2024instructdoc,MP+SP,FT,AAAI,2024,"First large-scale instruction tuning dataset for VDU covering 30 datasets and 12 tasks with diverse human-written instructions in a unified format.","Cross-domain (Forms, Receipts, Business Docs, Web Pages, Slides, Science Diagrams, UI Screens, Books, etc.)",-,"Variable (includes both single and multi-page)",Variable,Variable (aggregated from 30 datasets),"Text, Layout, Tables, Figures, Charts, Icons, Forms, Diagrams","KIE, Single-page QA, Discrete reasoning, Visual reasoning, Multi-hop reasoning, NLI, Captioning, Classification, Layout analysis","Extractive, Generative, Classification labels, Bounding boxes",M+S,"ANLS (InfoVQA/DUDE/Text-VQA/ST-VQA), EM (SlideVQA), Relaxed Accuracy (ChartQA), entity F1 (FUNSD/CORD), Accuracy (TabFact), ROUGE-L (VisualMRC)",
16,DocVQA,mathew2021docvqa,SP,PT+BM,WACV,2021,"Foundational single-page document VQA dataset on 12,767 industry document images (UCSF tobacco archive) with 50,000 questions, requiring reading text, tables, forms, and layout.",Industry (UCSF Industry Documents Library),12767,1,1/1,"50,000","Text, Layout, Tables, Forms, Figures, Handwriting","Extractive, Layout-based","Extractive, Short-form span",S,"ANLS, Accuracy",
17,InfographicVQA,mathew2022infographicvqa,SP,PT+BM,WACV,2022,"VQA on 5,485 infographic images requiring joint reasoning over text, layout, graphics, and data visualizations with elementary arithmetic.",Infographics,"5,485",1,1/1,"30,035","Text, Layout, Figures, Maps, Visual elements","Extractive, Numerical, Multi-span","Short-form, Numerical span",M+S,"ANLS, Accuracy",
18,ChartQA,masry2022chartqa,SP,BM,Findings of ACL,2022,"Chart-QA benchmark with 9.6K human-written and 23.1K machine-generated questions over 20,882 charts, requiring visual and logical reasoning.",Charts,20882,1,1/1,"32,719","Text, Charts, Visual elements","Compositional, Visual","Open-vocabulary, Numerical",M+S,"Accuracy, Relaxed Accuracy (within 5%)",
19,TextVQA,singh2019textvqa,SP,PT+BM,CVPR,2019,"VQA dataset requiring reading scene text in natural images, with 45,336 questions on 28,408 images from Open Images.",Scene-text images,28408,1,1/1,"45,336","Text, Visual elements","Extractive, Reasoning","Open-form, Multi-choice",M+S,"Accuracy, ANLS",
20,VisualMRC,tanaka2021visualmrc,SP,PT+BM,AAAI,2021,"Visual MRC with 30,000+ abstractive Q-A pairs on 10,000+ document images from contemporary webpages requiring reading and reasoning.",Webpages,10197,1,1/3 (multi-image per doc),"30,562","Text, Layout, Tables, Charts, Visual elements","Abstractive, Reasoning-based","Free-form, Abstractive",M,"BLEU, METEOR, ROUGE-L, CIDEr, BERTScore",
21,WikiTableQuestions,pasupat2015compositional,SP,PT+BM,ACL,2015,"Semantic parsing dataset with 22,033 complex compositional questions over 2,108 Wikipedia tables, requiring multi-step logical operations.",Wikipedia tables,2108,N/A (tables),N/A,"22,033","Text, Tables","Compositional, Multi-operation","Extractive, Set-based",M,"Accuracy, Oracle",
22,TabFact,chen2020tabfact,SP,PT+BM,ICLR,2020,"Large-scale fact verification with 118K human-annotated statements on 16K Wikipedia tables, labeled as ENTAILED or REFUTED.",Wikipedia tables,16573,N/A (tables),N/A,"118,275","Text, Tables","Linguistic, Symbolic, Logical",Binary (Entailed/Refuted),M+S,Accuracy,
23,FeTaQA,nan2022fetaqa,SP,PT+BM,TACL,2022,"Free-form table QA with 10K Wikipedia table-based instances requiring retrieval, reasoning, and generation of elaborate natural-language answers.",Wikipedia tables,10330,N/A (tables),N/A,"10,330","Text, Tables, Metadata","Generative, Multi-hop reasoning","Free-form, Abstractive",M,"BLEU, ROUGE, METEOR, BERTScore, BLEURT",
24,QASPER,dasigi2021qasper,MP,PT+BM,NAACL,2021,"Information-seeking QA over 1,585 NLP research papers; 5,049 questions written by NLP practitioners from title/abstract, answered with evidence from full text.",Scientific papers (NLP),1585,3.2,N/A,"5,049","Text, Tables, Figures","General, Specific","Extractive, Abstractive, Yes/No, Unanswerable",M,"F1, EM",
25,Kleister-NDA,stanislawek2021kleister,MP,PT+BM,ICDAR,2021,"Key information extraction over long US legal contracts (Non-Disclosure Agreements); entity-value extraction across multi-page documents with complex formal layouts.",Legal contracts (NDA),540,5.98,N/A,"2,160","Text, Tables, Layout",Entity extraction,Entity values,S,F1 (entity-level),
26,Kleister-Charity,stanislawek2021kleister,MP,PT+BM,ICDAR,2021,"Key information extraction over UK charity financial reports; entity-value extraction across long multi-page reports with complex layouts including scanned tables and free text.",Financial/Charity reports,2778,22.19,N/A,"21,612","Text, Tables, Layout",Entity extraction,Entity values,S,F1 (entity-level),
27,TAT-DQA,zhu2022tatdqa,MP+SP,PT+BM,ACM MM,2022,"Document VQA over real-world financial reports with both tabular and textual content; 16,558 Q-A pairs over 2,758 document pages requiring discrete reasoning (arithmetic, counting, comparison).",Financial reports,2758,1.33,1/3,"16,558","Text, Tables, Figures","Span, Multi-span, Counting, Arithmetic","Numerical, Span, Multi-span",M,"EM, F1",
28,MultiHiertt,zhao2022multihiertt,MP,PT+BM,ACL,2022,"Numerical reasoning over multiple hierarchical tables and paragraphs from financial reports; 10,440 Q-A pairs requiring multi-step reasoning across hierarchical table structures.",Financial reports,2513,~2.5,N/A,"10,440","Text, Tables","Numerical reasoning, Information extraction","Span, Arithmetic, Counting",M,"EM, F1",
29,DocBench,zou2024docbench,MP,BM,preprint,2024,"Benchmark for LLM-based document reading systems with 1,102 questions over 229 PDF documents across 5 domains (Academia, Finance, Government, Laws, News), including text-only, multimodal, metadata, and unanswerable question types.","Cross-domain (Academia, Finance, Government, Laws, News)",229,N/A,N/A,"1,102","Text, Tables, Figures","Text-only, Multimodal, Meta-data, Unanswerable","Numerical, Textual, Boolean, Others",S,Accuracy (GPT-4 LLM-as-judge),
30,DocGenome,xia2024docgenome,MP,PT+BM,NeurIPS,2024,"Large-scale scientific document benchmark with 500K arXiv documents from 153 disciplines, annotated with 13 layout attributes and 6 logical entity relationships across 7 tasks (classification, VQA, layout detection, transformation).",Scientific papers (arXiv),500000,13,N/A,"3,000 (7 tasks)","Text, Figures, Equations, Tables, Algorithms","Classification, VQA, Layout detection, Transformation",Multiple,M+S,"Accuracy, Edit Distance, mAP, BLEU, F1",
31,DocStruct4M,hu2024mplugdocowl,MP+SP,PT+FT,EMNLP,2024,"Structure-aware pretraining set of 4M samples across 5 domains (documents, tables, charts, webpages, natural images) with parsing tasks and multi-grained text–bbox pairs, introduced by mPLUG-DocOwl 1.5.","Documents, Tables, Charts, Webpages, Natural images",N/A,N/A,N/A,"4,000,000","Text, Tables, Figures, Charts","Structure-aware parsing, Text grounding, Text recognition","Localization, Parsing",M+S,"Accuracy, Edit Distance",
32,MMLongBench,wang2025mmlongbench,MP,BM,NeurIPS (spotlight),2025,"Comprehensive long-context vision-language benchmark with 13,331 examples across five task categories (Visual RAG, Needle-in-a-Haystack, Many-Shot ICL, Summarization, Long-Document VQA), delivered at five standardized input lengths (8K-128K tokens) via cross-modal tokenization.","Cross-domain (Wikipedia entities, image albums, classification of cars/food/scenes/species, government & legal reports, long PDFs, slides)",-,"N/A (length controlled by tokens: 8K, 16K, 32K, 64K, 128K)",N/A (8K to 128K tokens),"13,331","Text, Images (interleaved natural + synthetic), PDF documents, slides","Visual RAG, NIAH retrieval, NIAH counting, many-shot ICL classification, summarization, long-document VQA","Substring Exact Match (SubEM), Accuracy, Model-based judgment (summaries)",M+S,"SubEM, Accuracy, Model-based (for summarization)",
33,BRIDGE,xiang2026bridge,MP,BM,preprint,2026,"Multi-hop QA benchmark over long scientific papers requiring evidence aggregation across text, tables, and figures; supports both chain-like and fan-out reasoning structures with explicit multi-hop reasoning annotations enabling step-level evaluation beyond final-answer correctness. Represents a future direction for MP-VRDU benchmarks by emphasising intermediate-evidence grounding.","Scientific papers (CS/NLP/CV from ACL, EMNLP, CVPR, ICCV; 2023-2025 ArXiv subset)",262,"Variable (page bins: 1-2, 3-5, 6-10, 11-20, 21+)",1/21+,"11,857","Text, Tables, Figures","Abstractive (Ab), Comparative (Cp), Causal Reasoning (Re); chain-like and fan-out multi-hop",Free-form/Generative with grounded evidence chains,"Multi (1-hop, 2-hop, 3+-hop; explicit step-by-step annotations)","LLM-as-Judge (Audit/Accuracy/Fidelity on 0-5 scale via Qwen-Plus), ROUGE-L, BLEU",
34,PDF-VQA Task A,ding2023vqa,SP,PT+BM,ECML-PKDD,2023,"Page-level document element recognition over scientific articles; verifies element existence and counts elements with relative spatial relationship understanding. Questions and answers cover only a fixed answer space.",Scientific/Biomedical (PubMed Central),"12,337 document pages",1,1/1,"81,085 (Counting: 14,387 / 17.74%; Existence: 66,698 / 82.26%)","Text, Layout, Tables, Figures","Counting, Existence (relative spatial relationships)","Fixed answer space (yes/no, 0-5)",S,F1,
35,PDF-VQA Task B,ding2023vqa,SP,PT+BM,ECML-PKDD,2023,"Page-level document layout structure understanding and key information extraction; questions require understanding spatial layout (relative or reading-order) and recognising specific document elements, with answers as text spans from the page.",Scientific/Biomedical (PubMed Central),"12,337 document pages",1,1/1,"53,872 (Structural Understanding: 47,722 / 88.58%; Object Recognition: 6,150 / 11.42%)","Text, Layout, Tables, Figures","Structural Understanding, Object Recognition",Text spans from page (25 document element index classes),S,F1,
36,PDF-VQA Task C,ding2023vqa,MP,PT+BM,ECML-PKDD,2023,"Full document-level hierarchical understanding requiring cross-page reasoning; identifies parent or child elements of a queried item (e.g., section that describes a table) with answers extracted from multiple pages.",Scientific/Biomedical (PubMed Central),"1,147 full documents",~10,Not specified,"5,653 (Parent Relationship: 4,506 / 79.71%; Child Relationship: 1,147 / 20.29%)","Text, Layout, Tables, Figures","Parent Relationship Understanding, Child Relationship Understanding (cross-page hierarchical)",Text spans from multiple pages (400 document element index classes; multi-answer via Sigmoid > 0.5),M,Accuracy,
37,MP-DocStruct1M,hu2025mplugdocowl2,MP,PT,ACL,2025,"1.1M multi-image continue-pretraining corpus introduced by mPLUG-DocOwl2 covering Multi-page Text Parsing and Multi-page Text Lookup tasks; built from PixParse-sourced multi-page documents with explicit struct-aware supervision that teaches models to parse and locate content across page boundaries.",Cross-domain (documents from PixParse pool),-,Variable (multi-page),Variable,"1,113,259","Text, Layout, Tables, Figures","Multi-page text parsing, Multi-page text lookup","Generative (structured parse outputs), Page-index predictions",S,"Accuracy, Edit Distance",
38,MP-DocReason51K,hu2025mplugdocowl2,MP,FT,ACL,2025,"51,754 multi-image reasoning SFT samples extending DocReason25K to multi-page settings by inserting evidence pages among noisy distractors and adding explicit evidence-page descriptions (e.g., 'According to the 5th image, ...'); introduced by mPLUG-DocOwl2 to enable detailed multi-page explanations with evidence grounding.","Cross-domain (multi-page documents with noisy distractor pages)",-,Variable (multi-page),Variable,"51,754","Text, Layout, Tables, Figures, Charts","Reasoning with evidence-page grounding, Detailed explanation","Generative (open-ended explanations with evidence-page references)",M+S,"Accuracy, ANLS, ROUGE-L",
39,MHDocVQA,tanaka2025vdocrag,MP,FT,CVPR,2025,"Multi-hop Document VQA dataset (28,550 train + 9,470 test) semi-automatically created by VDocRAG to exercise cross-source reasoning over visually-rich documents; built by composing bridge entities across single-hop QA pairs from existing public DocVQA sources.","Cross-domain (composed from public DocVQA pools)",-,9.5,Variable,"38,020","Text, Tables, Charts, Figures","Multi-hop reasoning across documents","Extractive, Abstractive, Span, List, No-answer",M,"Accuracy, F1, ANLS",
40,OpenDocVQA,tanaka2025vdocrag,MP,FT+BM,CVPR,2025,"First unified collection of open-domain Document VQA datasets encompassing diverse document types and formats; assembles newly created MHDocVQA, reformulated Open-WikiTable, and existing public DocVQA sources (DocVQA/InfoVQA/ChartQA/SlideVQA/DUDE) under both single-pool and all-pool retrieval evaluation; supports both training and benchmarking for visually-rich open-domain RAG.","Cross-domain (Industry, Wikipedia, Infographics, Charts, Slides, Cross-domain)",-,Variable (depends on sub-pool),Variable,Variable (aggregated from multiple sources),"Text, Tables, Charts, Figures, Slides","Single-hop, Multi-hop, Multi-modal reasoning","Extractive (Span/List), Abstractive (Arithmetic/Counting), No-answer",M+S,"Recall@k / nDCG@k (retrieval), Accuracy / ANLS / F1 (generation)",
41,PaperPDF,xie2024wukong,MP,PT+BM,preprint,2024,"Bilingual (English + Chinese) academic-paper PDF corpus with 1.1M training QA pairs and 10K test pairs introduced by PDF-WuKong; constructed via Gemini-Pro (training) and GPT-4V (test) over 100K parsed PDFs in a four-step pipeline (parse → evidence extract → QA generate → filter), with both single-evidence and multi-evidence variants and explicit evidence-source annotations.",Academic Paper (bilingual EN+ZH),"100,000",Variable (full PDF length),Variable,"1,110,000","Text, Tables, Figures, Equations","Single-evidence QA, Multi-evidence QA","Generative (open-ended)",M+S,"F1, Accuracy",
42,CoR-Dataset,guo2026endtoend,MP,FT,preprint,2026,"26,088 high-quality QA pairs with explicit Chain-of-Reading reasoning traces over papers, reports, manuals, and contracts; curated through a semi-automated pipeline (Gemini Q&A generation → evaluator-model scoring → human sampling verification) and complemented by 5,000 DPO preference pairs and a separately curated Mask-AR figure-caption set for visual grounding.","Cross-domain (Papers, Reports, Manuals, Contracts)",-,Variable (multi-page PDFs),Variable,"26,088","Text, Tables, Charts, Figures, Layout","Localization-then-reasoning chain-of-thought","Generative (CoT with localized evidence and final answer)",M+S,"Accuracy (downstream), DPO win-rate",
43,Leopard-Instruct,jia2024leopard,MP+SP,FT,TMLR,2024,"925K-instance multimodal instruction-tuning corpus comprising 739K text-rich multi-image samples (documents, charts, tables, webpages, slide decks) and 186K single-image samples, with majority newly generated by GPT-4o over Pew Research charts and SlideShare decks; designed to fill the gap in text-rich multi-image SFT data for VLM training.","Cross-domain (Documents, Charts, Tables, Webpages, Slide decks)",-,Variable (single + multi-image),Variable,"925,000","Text, Layout, Tables, Charts, Slides, Webpages","Instruction-following across multi-image scenarios","Generative (open-ended instruction responses)",M+S,"Accuracy, ANLS, F1 (downstream benchmarks)",
44,ViDoSeek,wang2025vidorag,MP,BM,EMNLP,2025,"Visually-rich-document open-domain QA benchmark introduced by ViDoRAG over a corpus the paper describes as 'hundreds of documents amounting to thousands of pages' (~6K page images); supports RAG-style retrieval-then-reasoning evaluation with a unique answer per query across the corpus; built from researcher-annotated queries plus refined SlideVQA queries, with answer evidence spread across text, charts, tables, and layout.","Cross-domain (slide decks, reports, general visually-rich documents)",~hundreds (~6K page images),Variable,Variable,"1,200","Text, Charts, Tables, Layout","Extraction, Logic reasoning, Open-domain retrieval","Short-form, Multi-hop",M+S,"Recall@k (retrieval), Accuracy / F1 (generation)",
45,VisR-Bench,chen2025svrag,MP,BM,ICLR,2025,"Web-crawled visually-rich-document benchmark introduced by SV-RAG, with 226 documents and 471 human-verified QA pairs across 9 diverse domains (magazines, flyers, newsletters, product manuals, presentations, etc.); explicitly targets non-academic / non-financial domains under-represented in MMLongBench-Doc and LongDocURL.","Cross-domain (Magazines, Flyers, Newsletters, Product Manuals, Presentations, etc.; 9 domains)",226,Variable (web-crawled),Variable,471,"Text, Tables, Charts, Figures, Layout","Cross-modal reasoning over visually-rich documents","Generative, Open-ended",M+S,"Mean GPT Score (MGS) via GPT-4o judge, Accuracy",
46,VisDoMBench,suri2025visdom,MP,BM,NAACL,2025,"First multi-document multi-modal QA benchmark with 2,271 QAs over 1,277 documents, introduced by VisDoMRAG; aggregates tables, charts, slides, and text across five sub-tasks (PaperTab, FetaTab, SciGraphQA, SPIQA, SlideVQA) and supports evaluation of RAG systems on cross-document reasoning over visually-rich content with annotated evidence.","Multi-domain (Academic, Wikipedia, Scientific charts, Slide decks)",1277,19.11,Variable,"2,271","Text, Tables, Charts, Slides","Cross-document multi-modal reasoning","Generative, Open-ended, Multi-hop",M+S,"Accuracy, F1, GPT-judge",
47,MMDocIR,dong2025mmdocir,MP,BM,ACL,2025,"Multi-modal document retrieval benchmark across 10 domains (academic, legal, financial, etc.) with 313 lengthy documents (avg 65.1 pages) and 1,658 expert-annotated questions; provides both page-level and layout-level ground-truth labels for fine-grained retrieval evaluation. Each question demands multi-modal reasoning over text, tables, charts, and figures, with a training set of ~73,843 QAs over 6,878 docs for retriever/reranker fine-tuning.","Cross-domain (10 domains: academic, legal, financial, etc.)",313,65.1,Variable (long documents),"1,658","Text, Tables, Charts, Figures, Layout/Meta elements","Cross-modal retrieval, Multi-page synthesis, Layout-aware interpretation","Retrieval (page + layout-level)",M+S,"Recall@k, MRR, nDCG (retrieval); Accuracy, F1 (downstream QA)",
