ID,Model,Bibtex,Venue,Dependencies,Relationship,OCR,Architecture,OCR Engine,Prompt Strategies,Search Strategies,Agentic ,Modality,Vision Encoder,LLM/MLLM,Downstream Task,LLM Role,Key Technique,Model Architecture,Dataset,,,Pretraining,Instruct / Fine Tuning,Domain
10,Docopilot,duan2025docopilot,CVPR,LLaVA; Qwen2-VL; LoRA; ViT,architecture template; long-context VLM backbone; efficient fine-tuning; visual encoder,No*,Backbone-Centric MLLM Adaptation,N/A,N/A,N/A,N/A,V,InternViT-300M,"InternLM2-1.8B,InternLM2.5-7B","QA, KIE, DC, summarisation",InternLM2 decoder-only LLM for generation,Native long-context MLLM with Multimodal Data Packing and Ring Attention to achieve VQA without reliance on RAG,"Standard ViT-MLP-LLM architecture using pre-trained InternViT300M, 2 layer MLP projector, pretrained InternLM2 LLM decoder",N/A (InternVL2 pretrained),"Doc750K, MP-DocVQA, DUDE, ArxivQA, MMDU45K, DocVQA, DocREason, InfoVQA, ChartQA, LongAlpaca, LongQLoRA, LongCits, LongAlign, LongReward",N/A,InternVL2 (standard ViT + LLM),Combine multiple open-source datasets to create mixed dataset for SFT,"VRD, academic docs"
11,DocR1,xiong2026docr1,AAAI,Qwen2.5-VL; GRPO; DeepSeek-R1,Uses; extends; inspired by,No,Backbone-Centric MLLM Adaptation,N/A,CoT,N/A,N/A,V,Qwen2.5-VL,Qwen2.5-VL-7B,QA,Unified reasoning engine: performs evidence page retrieval and answer generation within a S model via RL-incentivized coarse-to-fine reasoning,Evidence Page-Guided Group Relative Policy Optimization (EviGRPO): evidence-aware reward mechanism promoting coarse-to-fine reasoning. Model first retrieves relevant evidence pages then generates answer. Two-stage curriculum training strategy.,"Qwen2.5-VL-Instruct (7B) as base MLLM, extended with EviGRPO reinforcement learning. No additional architectural modules; RL rewards guide internal reasoning to identify evidence pages before answering.",N/A (uses pretrained Qwen2.5-VL-Instruct),,,N/A,EviGRPO reinforcement learning with evidence-aware rewards and curriculum training on EviBench (4.8K samples),"VRD, academic documents"
13,DocSLM,hannan2025docslm,CVPR,BERT; T5; ViT; LoRA,text encoder; seq2seq compression backbone; visual encoder; parameter-efficient fine-tuning,Yes,Backbone-Centric MLLM Adaptation,PaddleOCR,N/A,N/A,N/A,"T, V, L",SigLIP2,Qwen2.5-1.5B,QA,"Generator: receives 576-token pae representations and natural language query, produces segment-level answer predictions with token-level entropy uncertainty scores","hierarchical multimodal compressor fuses visual, OCR text and layout features into fixed 576 token page representation + Streaming Abstention mechanism that processes document segments sequentially with entropy-based uncertainty calibration for constant memory footprint",SigLIP2 vision encoder + PaddleOCR extractor --> Local OCR compression --> Global visual compression --> MLP adapter --> Qwen2.5-1.5B SLM,"DocStruct4M, MP-DocStruct1M","DocDownstream1.0, DocDownstream2.0 + DocGenome12K + MPDocReason51K","MP-DocVQA, DUDE, MMLongBench-Doc, NewsVideoQA",1. OCR alignment 2. image compression 3. document compression (multi-page),1. Instruction tuning on S-image outputs 2. streaming abstention training with negative-pair supervision,VRD
16,InstructDoc,tanaka2024instructdoc,AAAI,LayoutLMv3; LLaMA 3; LoRA,document encoder backbone; LLM decoder; parameter-efficient fine-tuning,Yes,Backbone-Centric MLLM Adaptation,Unspecified,N/A,N/A,N/A,"T, V, L",CLIP,"FlanT5, BLIP2","QA, KIE, DC, NLI, DLA, ITM",Frozen (FlanT5) ,A  Document-former is used to bridge multimodal document represenstation and LLM textual representation. Multi-task instruction tuning is applied. ,Cross-attention based Document Former is applied to bridge gap between vision encoder and LLM. Only Document-former and FFN layer are trainable. ,N/A,Instruct-tuned on Instruct-Doc,"FUNSD, CORD, ChartQA, InfoVQA, TabFact, DUDE, SlideVQA, Held-out",N/A,Multi-task Instructiong Tuning,"VRD, Chart, Table"
18,LayTokenLLM,zhu2025laytokenllm,CVPR,Transformer; LLaMA 3; LoRA; LayoutLMv3,architectural basis; LLM backbone; parameter-efficient fine-tuning; layout encoding inspiration,Yes,Backbone-Centric MLLM Adaptation,EacyOCR,N/A,N/A,N/A,"T, L","N/A (uses text within visual elements, poor performance as a result)","LLaMA3-8B, Qwen1.5-7B","QA, KIE","Contiuning Pretraining: LLama3-8B,Qwen1.5-7B as backbone for Text and Layout encoding. ",Layout Token with New Positional Encoding Scheme for Layout Tokens without additional positional IDs.New Pretraining prediction pretraining. ,Layout Token is proposed to integrated into LLM as interleaved input with text tokens.,SFT data (LayoutLLM),N/A,"FUNSD, SROIE, MPDocVQA, DocVQA, DUDE,SIBR",Next Interleaved Text and Layout Token Prediction,N/A,VRD
19,Leopard,jia2024leopard,TMLR,SigLIP-SO400m; LLaMA 3; LLaVA; MLP Projector,visual encoder; LLM backbone; architecture template; vision-language connector,No,Backbone-Centric MLLM Adaptation,N/A,N/A (CoT used in annotation for dataset),N/A,N/A,V,SigLIP-SO400M,"LLaMa-3.1-8B, Mistral-7B",QA,"Continue instruct-tuning: LLaVA, Idefics2 as backbone (MLLM )",High quality instruction-tuning data. High-resolution multi-image encoding module. ,"LEOPARD is decoder only vision language model, uses SigLIP-SO-400M as encoder, 2 layer MLP vison language connector and backbond LLM (LLaMA-3.1 or Mistral-7B)",N/A,LEOPARD-INSTRUCT,"SlideQA, DUDE, MPDocVQA, DocVQA",N/A,Connector and Language model tuned on LEOPARD-INSTRUCT,VRD/Chart/Text
27,mPLUG-DocOwl2,hu2025mplug,ACL,CLIP; LLaMA 3; LLaVA; LoRA,visual encoder; LLM backbone; VLM template; efficient fine-tuning,No,Backbone-Centric MLLM Adaptation,N/A,N/A,N/A,N/A,V,ViT-L/14,mPLUG-Owl2,"QA, KIE",LLM (mPLUG-Owl2) is frozeon execpt fine-tuning stage. ,"Introduce a novel compressing architecture to greatly reduce visual tokens of high resolution document images to enable multi-page document understanding. It leverages a Shape-adaptive Cropping Module and a low resolution vision encoder to encode high-resolution document images. The glolab visual feature can be enhanced by applying cross-attention with layout aligned high-resolution visual features. For multipage scenarios, a special token <img x> is added before each document image. ",Build on Top of 1.5 version with a cross-attention absed High-reesolution DocCompressor. ,"DocStruct4M, MP-DocStruct1M","MP-DocVQA, DUDE, NewsVideoQA, MP-DocReason51K, DocGenome12K","MP-DocVQA, DUDE, NewsVideoQA","S-image Pretraining, Multi-image Continue Pretraining",Multi-task Finetuning,"Multipage VRD, VRD/Chart/Text/Table"
34,TextHawk2,yu2024texthawk2,preprint,CLIP; LLaMA 3; Qwen2-VL; LLaVA; SigLIP-SO400m,visual encoder; LLM backbone option; architecture comparison; VLM template; visual encoder alternative,No*,Backbone-Centric MLLM Adaptation,N/A,N/A,N/A,N/A,V,SigLIP-SO400M,Qwen2-7B-Instruct,"QA, OCR, REC","Qwen2-7B-Instruct Pre-training: Initially frozen during warm-up; then trained with LoRA, Fine tuning stage is trainable","16x Visual Token Compression (ReSampling & Rearrangement), Unified Visual Encoder, Detection Head, Multi-level Cross Attention",ViT + Resampler + LLM + Detection Head,"OCRBench, ChartQA, DocVQA, InfoVQA, RefCOCO, UMG, CapsFusion, etc.",SigLIP-SO400M,"ChartQA, DocVQA, InfoVQA, TabFact, WTQ, TextVQA",N/A,"SFT Text alignment, interleaved multimodal reasoning, grounding (region-caption linking), OCR transcription, image-to-markdown conversion, and table/chart understanding to build a bilingual LVLM with strong OCR and grounding capabilities.","Natural Scene, VRD"
1,Arctic-TILT,borchmann2025arctic,ACL,BERT; T5; ViT,text encoder basis; encoder-decoder framework; visual feature extraction,Yes,Page-to-Document Encoding Models,Unspecified,N/A,N/A,N/A,"T, V, L",U-Net,T5-Large,"QA, KIE, summarisation","End-to-end multimodal processor directly consuming T, V, L inputs to generate text based answers","""Tensor Product"" modality fusion mechanism integrated within each transformer block, chunked processing and sparse attention to handle long documents","Encoder-decoder transformer based on T5, combined with contextualized vision from a U-Net with textual semantics using a fusion operation placed after the FFNs in every encoder layer","CCpdf, OCR-IDL",12 public datasets + 5 in house datasets,"MP-DocVQA, DUDE, Kleister NDA, Kleister Charity, ArXiv-Lay, PubMed-Lay, DocVWA, VQA-CD, infographicsVQA, MMLongBench-Doc, SlideVQA","Self supervised pretraining using pretrained T5, then further 900K steps self supervised pretraining on document datasets after introducing TILT architecture modifications","SFT on 17 QA and KIE datasets, hyperparameter tuning conducted using Optuna","VRD, business, academic"
14,GRAM,blau2024gram,CVPR,BERT; T5; ViT,cross-page text encoding; seq2seq backbone; visual encoder,Yes,Page-to-Document Encoding Models,Unspecified,N/A,N/A,N/A,"T, V, L",DocFormerv2,DocFormerv2,QA,N/A,Extends pretrained SP Encoder + Decoder using Global-Local encoder blocks with document tokens that propagate information across pages,"Interleaved encoder-decoder transformer built on DocFormerv2, self attention applied only over cross-page doc tokens.",N/A (DocFormerv2 pretrained),MP-DocVQA + DUDE,"MP-DocVQA, MMLong-Doc, DocGenome, MM-NIAH, DocVQA, ChartQA, InfoVQA",DocFormerv2 (no further pre-training),Fine-tuned on MP-DocVQA & DUDE,"multipage VRD, industry documents"
15,Hi-VT5,tito2023hierarchical,PR,T5; ViT,seq2seq backbone; visual patch encoder,Yes,Page-to-Document Encoding Models,Amazon Textract,N/A,N/A,N/A,"T, V, L",DiT,T5-Base,"QA, PageID",N/A,"Visual, textual and layout features passed to T5 encoder to produce answer",Hierarchical Transformer + per-page summary,DocVQA,N/A,MP-DocVQA,T5 pretrained on S image docs,N/A,VRD
31,RM-T5,dong2024multi,DAS,T5; DiT; ViT,seq2seq backbone; document image encoder; patch encoder,Yes,Page-to-Document Encoding Models,Amazon Textract (dataset-provided),N/A,37,N/A,"T, V, L",DiT,T5-base,"QA, PageID",T5 encoder-decoder: encoder produces per-page memory tokens from OCR+visual+question; decoder consumes concatenated memories from all pages to generate the final answer,Recurrent Memory Transformer (RMT) within an encoder-decoder framework. m=100 learnable memory tokens propagated across pages; memories from all pages concatenated for decoder to integrate global document context. Auxiliary page prediction module,T5-base encoder-decoder + DiT visual patch encoder + spatial embedding module + page prediction module,N/A (T5-base Hugging Face pretrained weights used for initialization),"MP-DocVQA training set (curriculum learning: 1 page -> 3 pages, then full 20-page doc)",MP-DocVQA test,N/A,"Curriculum learning SFT: start with 1 page, grow to 3 pages; then fix encoder and fine-tune decoder + page selector on full 20-page documents. 10 epochs, batch size 4, NVIDIA A40 GPU",Multi-page VRD
2,AVIR,li2025avir,ACM,Pix2Struct; Qwen2-VL,page relevance scoring backbone; adaptive answer generation backbone,No,Retriever-Generator Pipeline,N/A,N/A,Dense,N/A,V,Pix2Struct,Qwen2.5-VL-3B-AWQ,QA,Qwen2.5-VL-3B-AWQ frozen answer generator,"Lightweight Pix2Struct scores pages based on question relevance, then use K-means clustering (for long docs) or threshold filtering (for short docs) to select most relevant pages","Frozen Pix2Struct encoder (100M) with 2 self attention layers and a sigmoid head for relevance scoring + frozen AWQ quantized Qwen2.5-VL-3B for answer generation, receiving only adaptively selected pages",N/A (Pix2Struct + Qwen2.5-VL-3B0),"MP-DocVQA, SlideVQA","MP-DocVQA, SlideVQA, DUDE",N/A,"Fine tuning on retrieval head only on each dataset, downloadstream LVLM (Qwen2.5VL-3B-AWQ fully frozen)",Multi-page VRD
4,CREAM,zhang2024cream,ACM,RAG; BERT; T5; LoRA,coarse-to-fine retrieval framework; text embedding encoder; seq2seq reader; efficient fine-tuning,Yes,Retriever-Generator Pipeline,Unspecified (BGE-large for embeddings),N/A,Joint,N/A,"T, V",Pix2Struct,LLaMA2-7B,QA,Generates final answer conditioned on question + text chunks + visual document representations,Coarse-to-fine retrieval: text embedding similarity (coarse phase) + LLM-based multi-round gruoping and reranking (find phase) to identify more relevant chunks,Pix2Struct vision encoder extended via an attention pooling mechanism to handle multiple document pages --> projected into LLaMA2 7B via AdapterMLP layer,N/A (Pix2Struct + LLaMA2),"DocVQA, InfographicVQA, VisualMRC, MPDocVQA, DUDE","MPDocVQA, DUDE, DocVQA, InfographicVQA, VisualMRC",N/A,"LoRA applied to query and value matrices in multi-head attention, bias and scale factor tuning on all linear layers, prefix tuning with visual query inject","VRD, infographics"
5,DFVC,qian2026dfvc,MDPI,VisRAG (MiniCPM-V); ColQwen (Qwen2-VL); ColPali; ColBERT,Extends; builds on; uses; uses,No,Retriever-Generator Pipeline,N/A,N/A,Dense,N/A,V,"VisRAG, ColQwen",Qwen2-VL-2B-Instruct,"QA, DocRetrieval","Frozen dual-encoder: vision encoder maps page images to embeddings, text encoder maps queries to embeddings. Adapter refines page embeddings post-hoc.","Dynamically Fusing Visual Context (DFVC) of pages: lightweight plug-and-play MLP adapter predicts gating weights (alpha, beta) to adaptively fuse embedding vectors of neighboring pages into a context-enriched representation. Contrastive ListNet ranking loss with drift regularization prevents context dilution.","Frozen VLM backbone (VisRAG/MiniCPM-V or ColQwen/Qwen2-VL-2B-Instruct) encodes each page independently into embedding vectors. Lightweight MLP adapter (2 linear layers, hidden dim 512) takes concatenated [v_{n-1}; v_n; v_{n+1}] and predicts sigmoid-gated weights. Residual fusion: v'_n = v_n + alpha*v_{n-1} + beta*v_{n+1}.","N/A (frozen VLM backbones: VisRAG, ColQwen pretrained)",,,N/A,"Adapter-only training: AdamW lr=5e-4, 20 epochs on MP-DocVQA, 5 epochs on MMLongBench-Doc. Backbone frozen; only 4.2MB adapter parameters trained.",VRD
17,KGP,wang2024kgp,AAAI,RAG; BERT; BM25,retrieval-augmented framework; text encoder for KG nodes; sparse retrieval,Yes,Retriever-Generator Pipeline,PDF parser (unspecified),N/A,"Sparse (pdf parser converts visual contents to text, no vision encoder)",Fixed,"T, L",N/A,"T5-large, LLaMa-7B, MDR (RoBERTa), ChatGPT",QA,T5 (or LLaMA): instruction-finetuned for graph traversal agent; LLM predicts next passage to retrieve,Construct KG from documents (passages/pages/tables) + LLM-based graph traversal agent,"KG + LLM traversal (T5, LLaMA, ChatGPT) for retrieval + final answer from ChatGPT",N/A,HotpotQA,"2WikiMQA, MuSiQue, IIRC, HotpotQA, PDFTriage",N/A,"Instruction tuning on HotpotQA (T5, LLaMA) for 'next passage prediction' task",text document
20,M2RAG,duan2025m2rag,NeurIPS?,BM25; VisRAG-Ret (MiniCPM-V); Qwen2.5-7B-Instruct; Qwen2.5-VL-7B-Instruct; Qwen2.5-VL-32B (teacher); LoRA,sparse text retriever; visual retriever; text filter LLM; fine-tuned visual extractor and modal fuser VLM; teacher VLM for knowledge distillation; efficient fine-tuning,Yes*,Retriever-Generator Pipeline,Unspecified,N/A,Joint,Fixed,"T, V",VisRAG-Ret (MiniCPM-V based),"Qwen2.5-7B-Instruct, Qwen2.5-VL-7B-Instruct, Qwen2.5-VL-32B",QA,Text Filter (Qwen2.5-7B-Instruct) generates preliminary text-based answer a_T + evidence chain E_T from retrieved text segments; Visual Extractor (LoRA-tuned Qwen2.5-VL-7B-Instruct) generates preliminary visual answer a_V + evidence E_V from retrieved pages; Modal Fuser (same LoRA-tuned VLM) integrates text/visual answers and evidence into final answer a_F,Dual-tower retrieval (BM25 text + VisRAG-Ret visual) + 3-agent multi-agent generation (Text Filter + Visual Extractor + Modal Fuser); Knowledge-distillation LoRA fine-tuning of Qwen2.5-VL-7B student using Qwen2.5-VL-32B teacher on MP-DocVQA,"BM25 (sparse text) + VisRAG-Ret (visual, MiniCPM-V based) retrieval; top-k=1/3/5 retrieval; Text Filter (Qwen2.5-7B) + LoRA-tuned Visual Extractor + Modal Fuser (Qwen2.5-VL-7B)",N/A (uses pretrained backbones),"Knowledge-distillation LoRA fine-tuning of Qwen2.5-VL-7B student on MP-DocVQA with Qwen2.5-VL-32B as teacher; 3 epochs, batch size 16, NVIDIA A800 80GB GPU","DocBench, MMLongBench, LongDocURL",N/A,"LoRA fine-tuning via knowledge distillation on MP-DocVQA (student=Qwen2.5-VL-7B-Instruct, teacher=Qwen2.5-VL-32B-Instruct)","VRD / DocQA (open-domain and closed-domain, long and short documents, textual and visual content)"
21,M3DocRAG,cho2024m3docrag,preprint,ColPali; Qwen2-VL; RAG,visual page retrieval; answer generation backbone; retrieval-augmented framework,No,Retriever-Generator Pipeline,N/A,N/A,Dense,N/A,V,"ColPali, ColQwen (secondary)","Qwen2-VL-7B, InternVL2-8B, Idefics2-8B, Idefics3-8B",QA,Qwen2-VL 7B for answer generation,"Retrieves relevant document pages using ColPali visual embeddings rather than OCR, preserving visual information --> MLLM (Qwen2-VL)",PDF --> RGB images --> ColPali --> Retrieval --> MaxSim scoring --> MLLM Answer generation,"PaliGemma2B (ColPali), Qwen2-VL pretraining data",N/A,"M3DocVQA, MMLongBench-Doc, MP-DocVQA",- (ColPali + Qwen2VL pretrained),N/A,Multi-page VRD
