ID,Name,Category,Architecture,Overall,,,Vision Encoder,,,,,LLM Backbone,,,,Adaptors and Projectors,,,
29,PDF-WuKong,end-to-end,Retriever-Generator Pipeline,-,-,trained,IXC2-VL-4KHD,"dynamic 336px-4K, max 16 tiles",-,-,trained,IXC2-VL-4KHD,-,-,trained,Sparse sampler,-,-,trained
30,RAG-DocVQA,partial,Retriever-Generator Pipeline,-,-,trained,DiT / Pix2Struct,2048 patches (Pix2Struct),-,-,trained (VT5); frozen (Pix2Struct target versions),VT5 / Qwen2.5-VL-7B-Instruct,-,-,trained (VT5 full; Qwen LoRA),LoRA,-,-,trained
31,RM-T5,partial,Page-to-Document Encoding Models,trained,-,trained,DiT,512 tok/page max,-,-,frozen,T5-base,trained,-,trained (decoder),-,trained,-,trained
32,Self-Attention Scoring,partial,Retriever-Generator Pipeline,-,-,trained,Pix2Struct,2048 patches (16x16),-,-,frozen,Pix2Struct,-,-,frozen,-,-,-,trained
33,SimpleDoc,training-free,Agentic Pipeline,-,-,-,ColQwen-2.5,dynamic (ColQwen-2.5),-,-,-,"Qwen2.5-VL-32B-Instruct, Qwen3-30B-A3B",-,-,-,-,-,-,-
34,TextHawk2,end-to-end,Backbone-Centric MLLM Adaptation,trained,trained,-,SigLIP-SO400M,"224x224 base, max 72 sub-imgs",trained,trained,-,Qwen2-7B-Instruct,trained,trained,-,QPN + ReSA,trained,trained,-
35,VDocRAG,partial,Retriever-Generator Pipeline,trained,-,trained,Phi3V-4.2B,"336x336 dynamic, up to 1344x1344",frozen,-,frozen,Phi3V-4.2B,frozen (LoRA),-,frozen (LoRA),LoRA + MLP,trained,-,trained
36,ViDoRAG,training-free,Agentic Pipeline,-,-,-,"Nv-embed-V2, ColQwen2",dynamic (ColQwen2),-,-,-,Qwen2.5-VL / LLaMA3.2-Vision / GPT-4o,-,-,-,-,-,-,-
37,DREAM,partial,Retriever-Generator Pipeline,-,-,trained,InternVL2 ViT,"448 tile, max 24 tiles (InternVL2 default)",-,-,frozen,InternVL2-4B,-,-,frozen (LoRA),Cross-page MoE attention connector + LoRA,-,-,trained
38,MM-Doc-R1,partial,Agentic Pipeline,-,-,trained,Qwen2.5-VL ViT (read tool),"dynamic (Qwen2.5-VL)",-,-,frozen,Qwen3-4B / Qwen3-8B,-,-,trained (SPO/GRPO),-,-,-,trained
39,SV-RAG,partial,Retriever-Generator Pipeline,-,-,trained,InternVL2 / PaliGemma / Phi-3-vision,"dynamic (InternVL2 default), 448x448 (PaliGemma)",-,-,frozen,InternVL2-4B / PaliGemma-3B / Phi-3-vision-4B,-,-,frozen (LoRA),Dual LoRA adapters (retrieval + QA) + Col-projection,-,-,trained
40,SLEUTH,training-free,Agentic Pipeline,-,-,-,ColPali (retriever),448x448 (ColPali default),-,-,-,Qwen3-VL-8B / GLM-4.1V-Thinking-8B / Gemini-2.5-Flash,-,-,-,-,-,-,-
41,MM-R5,partial,Retriever-Generator Pipeline,-,trained,trained,Qwen2.5-VL ViT,"dynamic (Qwen2.5-VL)",-,frozen,frozen,Qwen2.5-VL-7B,-,trained (SFT),trained (GRPO),-,-,trained,trained
42,VisDoMRAG,training-free,Retriever-Generator Pipeline,-,-,-,ColPali / ColQwen2,"448x448 (ColPali), dynamic (ColQwen2)",-,-,-,Qwen2-VL-7B-Instruct / Gemini-1.5-Flash / GPT-4o,-,-,-,-,-,-,-
43,VRAG-RL,end-to-end,Agentic Pipeline,-,trained,trained,Qwen2.5-VL ViT,dynamic (Qwen2.5-VL),-,trained,trained,Qwen2.5-VL-3B-Instruct / Qwen2.5-VL-7B-Instruct,-,trained (full SFT),trained (GRPO),-,-,trained,trained
44,URaG,partial,Backbone-Centric MLLM Adaptation,-,-,trained,Qwen2.5-VL ViT,dynamic (Qwen2.5-VL),-,-,frozen,Qwen2.5-VL-3B / Qwen2.5-VL-7B,-,-,frozen (LoRA),Cross-modal retrieval module (2 linear + GELU) + LoRA (rank 32),-,-,trained
45,DocSeeker,end-to-end,Backbone-Centric MLLM Adaptation,-,trained,trained,Qwen2.5-VL ViT,"1024x784 eval, EGRA training",-,trained,trained,Qwen2.5-VL-7B-Instruct,-,trained (SFT),trained (EviGRPO),-,-,trained,trained
46,DMAP,training-free,Agentic Pipeline,-,-,-,ColPali,dynamic (ColPali default),-,-,-,GPT-4o / Qwen-plus,-,-,-,-,-,-,-
