Name,Bibtex,Multi / Single Page,Type,Conf\Journal,Year,Description,Domain,# Documents,Avg # Pages,Min/Max Pages,Num Q/A,Modalities,Question Types,Answer Types,Multi/Single Hop
UDA-Benchmark,hui2024uda,Multi,Benchmark,NeurIPS,2024,"Benchmark suite for RAG-based real-world document analysis with 6 sub-datasets across finance, academia, and world knowledge domains, using raw unstructured documents.","Cross-domain (Finance, Academic Papers, World Knowledge/Wikipedia)",2965,~10.6-148.5 (varies by sub-dataset),Variable (academic ~11 pages; finance ~148 pages),"29,590","Text, Tables","Extractive, Arithmetic, Counting, Yes/No, Free-form","Extractive, Numerical, Free-form",Multi + Single
DuReaderVis,qi2022dureadervis,Multi (technically single),Training + Benchmark,ACL,2022,"First Chinese open-domain DocVQA dataset with real user queries from Baidu Search and document images from web pages, featuring long answers and multi-span extraction.",Cross-domain (Open-domain web pages from Baidu Search),~158K document images,N/A (web page screenshots; avg. 1968 OCR tokens per image),N/A (full web page screenshots),"15,000","Text, Layout, Tables, Lists, Visual features (images, colors)","Factual, Non-factual, Open-domain","Extractive (Text, List, Table; single-span and multi-span; avg. 180.54 tokens)",Single
InstructDoc,tanaka2024instructdoc,Multi + Single,Instruction Tuning Dataset,AAAI,2024,First large-scale instruction tuning dataset for VDU covering 30 datasets and 12 tasks with diverse human-written instructions in a unified format.,"Cross-domain (Forms, Receipts, Business Docs, Web Pages, Slides, Science Diagrams, UI Screens, Books, etc.)",30 datasets combined,Variable (includes both single and multi-page),Variable,Variable (aggregated from 30 datasets),"Text, Layout, Tables, Figures, Charts, Icons, Forms, Diagrams","KIE, Single-page QA, Discrete reasoning, Visual reasoning, Multi-hop reasoning, NLI, Captioning, Classification, Layout analysis","Extractive, Generative, Classification labels, Bounding boxes",Multi + Single
PDF-VQA,ding2023vqa,Multi + Single,Training + Benchmark,ECML-PKDD,2023,"Document VQA dataset on scientific articles examining element recognition, layout structure understanding, and full document-level understanding across three tasks.",Scientific/Biomedical (PubMed Central),1147 (12337 Images),~10,Not specified,"140,610 (81K Task A + 54K Task B + 5.7K Task C)","Text, Layout, Tables, Figures, Lists","Counting, Existence, Structural understanding, Object recognition, Hierarchical understanding","Extractive, Numerical, Yes/No",Multi + Single
Kleister-NDA,stanislawek2021kleister,Multi,Training + Benchmark,ICDAR,2021,Key information extraction from long formal Non-Disclosure Agreement documents.,Legal (NDAs),540,,,"~3,200",Text,Key information extraction,Entity values,Multi
Kleister-Charity,stanislawek2021kleister,Multi,Training + Benchmark,ICDAR,2021,Key information extraction from long UK charity annual financial reports with diverse layouts.,Financial (UK Charity reports),2788,,,"~52,000",Text,Key information extraction,Entity values,Multi
HotpotQA,yang2018hotpotqa,Multi,Training + Benchmark,EMNLP,2018,Multi-hop QA dataset with 113K Wikipedia-based question-answer pairs with sentence-level supporting facts and diverse question types including comparison.,Wikipedia,,,,"~113,000",Text,"Multi-hop, Bridge, Comparison","Extractive, Yes/No",Multi
IIRC,ferguson2020iirc,Multi,Training + Benchmark,EMNLP,2020,Incomplete Information Reading Comprehension dataset requiring retrieval of additional context from linked documents.,Wikipedia,,,,"~13,000",Text,"Multi-hop, Incomplete information",Extractive,Multi
PubLayNet,zhong2019publaynet,Multi,Training + Benchmark,ICDAR,2019,"Largest dataset for document layout analysis; 360K pages from PubMed Central with annotations for title, text, list, figure, and table.",Scientific (PubMed Central),"~360,000 pages",,,,"Text, Layout, Visual",Document layout analysis,"Bounding boxes, element labels",Multi + Single
IIT-CDIP,lewis2006building,Multi,Pretraining,SIGIR,2006,Complex Document Information Processing test collection with 42M low-resolution document pages from Legacy Tobacco Document Library. Widely used for self-supervised pretraining.,Tobacco industry documents,"~42,000,000 pages",,,,"Text, Layout, Visual",Pretraining (self-supervised),,Multi
CCpdf,turski2023ccpdf,Multi,Pretraining,ICDAR,2023,Large-scale multilingual corpus of PDF files from Common Crawl for visually rich document pretraining; diverse multilingual and multi-domain collection.,"Cross-domain, multilingual (Common Crawl)",Millions of PDFs,Variable,Variable,,"Text, Layout, Visual",Pretraining,,Multi
MP-DocStruct1M,hu2025mplug,Multi,Pretraining,ACL,2024,Multi-page Document Parsing and Lookup training set used in DocOwl2. Tasks include Multi-page Text Parsing and Multi-page Text Lookup built from PixParse IDL and PDFA-eng-wds.,Cross-domain multi-page PDFs (PixParse),"~1,000,000 samples",Multi,,,"Text, Layout, Visual","Multi-page text parsing, Multi-page text lookup",Structured text + page indices,Multi
MP-DocReason51K,hu2025mplug,Multi,Instruction Tuning,ACL,2024,Multi-page document reasoning instruction tuning dataset used in DocOwl2 for multi-page QA with detailed explanations and evidence pages.,Cross-domain multi-page documents,"~51,000",Multi,,"~51,000","Text, Layout, Visual",Multi-page reasoning QA,Generative with evidence pages,Multi
DocDownstream-2.0,hu2025mplug,Multi,Instruction Tuning,ACL,2024,"Multi-page evaluation collection used in DocOwl2 covering MP-DocVQA, DUDE, and NewsVideoQA.",Multi-page documents (aggregated),,Multi,,,"Text, Layout, Visual","Multi-page QA, Video QA","Extractive, Generative",Multi
DocGenome12K,hu2025mplug,Multi,Instruction Tuning,ACL,2024,Subset of DocGenome curated as a multi-page instruction tuning dataset used in DocOwl2 and DocSLM training.,Scientific (arXiv multi-disciplinary),"~12,000",Multi,,,"Text, Layout, Tables, Figures",Multi-page scientific QA,Generative,Multi
SPIQA,pramanick2024spiqa,Multi,Training + Benchmark,NeurIPS,2024,"First large-scale, free-form, open-ended scientific QA dataset covering all domains of computer science; requires holistic understanding of figures, tables, and full text.",Scientific (Computer Science papers),"~26,000 papers",Variable,,"~270,000","Text, Figures, Tables","Free-form, Open-ended, CoT, Grounded",Generative,Multi
MM-LongBench-Doc,ma2024mmlongbench,Multi,Benchmark,NeurIPS,2024,Alternative naming for MMLongBench-Doc (see above entry).,Cross-domain (7 types),135,47.5,,1082,"Text, Tables, Charts, Images",See MMLongBench-Doc,See MMLongBench-Doc,Multi + Single
DocBench,zou2024docbench,Multi,Benchmark,preprint,2024,"Benchmark for LLM-based document reading systems: 229 real PDFs and 1,102 questions across 5 domains (Academia, Finance, Government, Laws, News) with 4 question categories.","Cross-domain (Academia, Finance, Government, Laws, News)",229,~77.5,,1102,"Text, Tables, Figures, Meta-data","Text-only, Multi-modal (tables/figures), Meta-data, Unanswerable","Extractive, Generative, Unanswerable",Multi + Single
ViDoSeek,wang2025vidorag,Multi,Benchmark,EMNLP,2025,"Benchmark specifically designed for RAG performance evaluation on visually rich documents with complex reasoning; 300 slide decks across 12 domains, requires retrieval from large corpus.",Cross-domain (12 domains; slide decks),300,~25-50 pages/doc,,,"Text, Visual, Layout","Single-hop, Multi-hop, Content-based, Layout-based","Extractive, Generative",Multi + Single
NewsVideoQA,jahagirdar2023watching,Multi,Benchmark,WACV,2023,News video question answering dataset used for multi-page document understanding evaluation in DocOwl2/DocSLM frameworks.,News videos,,,,,"Text, Visual (video frames)","Factual, Cross-frame","Extractive, Generative",Multi
EviBench,xiong2026docr1,Multi,Training + Benchmark,AAAI,2026,Evidence-aware benchmark and training dataset used for DocR1's evidence-page-guided GRPO training with 4.8K samples.,Cross-domain documents,,,,"~4,800","Text, Layout, Visual","Evidence-aware, Multi-page",Extractive with evidence pages,Multi
MoLoRAG+,wu2025molorag,Multi,Instruction Tuning,EMNLP,2025,Curated SFT dataset from MMLongBench and LongDocURL used to fine-tune Qwen2.5-VL-3B via LoRA for retrieval/logical relevance scoring.,Cross-domain (from MMLongBench + LongDocURL),,Multi,,,"Text, Visual, Layout",Retrieval relevance scoring,Relevance scores,Multi
MHDocVQA,tanaka2025vdocrag,Multi,Training + Benchmark,CVPR,2025,Multi-Hop DocVQA dataset introduced for VDocRAG evaluation requiring reasoning across multiple document pages/images.,Cross-domain documents,,Multi,,,"Text, Visual, Layout",Multi-hop,"Extractive, Generative",Multi
MPMQA,zhang2023mpmqa,Multi,Training + Benchmark,AAAI,2023,Multimodal Product Manual Question Answering; product manuals with questions requiring multimodal understanding.,Product manuals,,Multi,,,"Text, Visual, Layout, Tables, Figures","Factual, Visual reasoning","Extractive, Generative",Multi
LongAlpaca,chen2023longlora,Multi,Instruction Tuning,ICLR,2024,Long-context instruction tuning dataset (LongAlpaca-12K) for extending instruction following to long contexts; used in Docopilot training.,Long-context text,"~12,000",Variable,,"~12,000",Text,Long-context instruction,Generative,Multi
LongCite,zhang2024longcite,Multi,Instruction Tuning,ICLR,2025,Long-context citation generation dataset; enables LLMs to generate fine-grained citations in long-context QA.,Long-context text,,Variable,,,Text,Long-context QA with citations,Generative with citation spans,Multi
LongAlign,bai2024longalign,Multi,Instruction Tuning,ACL,2024,Recipe and dataset for long-context alignment of LLMs with up to 64K context length.,Long-context text,"~10,000",Variable,,"~10,000",Text,Long-context instruction,Generative,Multi
LongReward,zhang2024longreward,Multi,Preference Tuning,NeurIPS,2024,"Long-context preference dataset improving long-context LLMs using AI feedback on helpfulness, logicality, faithfulness, and completeness.",Long-context text,,Variable,,,Text,Long-context reward modeling,Preference pairs,Multi
MMDU,liu2024mmdu,Multi (multi-image),Benchmark,NeurIPS,2024,"Multi-turn multi-image dialog understanding benchmark with 110 high-quality dialogues, 1600+ questions, long-form answers, up to 18K text+image tokens, 20 images, 27 turns.",Wikipedia (clustered entries),110,2-20 images,46073,"~1,600","Text, Images",Multi-turn multi-image,Long-form generative,Multi
MMDU-45k,liu2024mmdu,Multi (multi-image),Instruction Tuning,NeurIPS,2024,"Large-scale instruction tuning dataset for multi-turn multi-image dialog with 45K conversations; avg 9 turns, avg 5K image+text tokens.",Wikipedia (clustered entries),"~45,000",2-5 images,46144,"~45,000","Text, Images",Multi-turn multi-image dialog,Long-form generative,Multi
LEOPARD-INSTRUCT,jia2024leopard,Multi (multi-image),Instruction Tuning,TMLR,2024,"High-quality instruction-tuning dataset (~1.2M samples) tailored to text-rich multi-image scenarios spanning multi-page documents, multi-charts/tables, and webpage trajectories.","Text-rich (documents, charts, tables, webpages)","~1,200,000",Multi,,,"Text, Visual, Layout","Multi-image reasoning, Reference across images",Generative,Multi
DocILE,simsa2023docile,Multi + Single,Training + Benchmark,ICDAR,2023,"Benchmark for Key Information Localization and Extraction and Line Item Recognition; 6.7K annotated business documents, 100K synthetic, ~1M unlabeled for pretraining.",Business documents,"6,700 annotated + 100K synthetic + ~1M unlabeled",Variable,Variable,,"Text, Layout, Tables","KILE, Line Item Recognition",Field values with locations (55 classes),Multi + Single
PaperTab,,,Benchmark,,,,,,,,,,,,
FetaTab,,,Benchmark,,,,,,,,,,,,
MMLongBench,,,Benchmark,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Not Checked,,,,,,,,,,,,,,,
